,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
342,10,Tyler Cavanaugh,CAN,34.0,22.3,5.3,9.5,0.552,1.7,3.7,0.465,2.0,2.4,0.844,1.4,3.2,2.0,6.0,8.0,1.7,0.8,0.2,14.3,F,6-9,240,27,4.0,2.0,13.0,7.0,7.0,2.0,5.0,2.0,11.0,5.0,47.0,28.0,39.0,26.0,16.0,8.0,5.0,4.0,5.0,2.0,9.0,5.0,9.0,6.0
343,6,Tyson Perez,AND,17.0,20.8,5.8,12.4,0.464,2.3,5.0,0.455,2.6,3.8,0.676,1.7,2.9,4.3,6.8,11.1,0.9,1.6,0.8,16.4,PF,6-8,214,25,0.0,0.0,6.0,3.0,6.0,6.0,1.0,0.0,15.0,6.0,16.0,8.0,19.0,9.0,7.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
344,17,Usman Garuba,RMB,34.0,18.8,4.6,10.0,0.459,1.3,4.1,0.318,1.3,2.0,0.656,1.9,4.2,3.5,7.7,11.2,2.3,1.6,0.9,11.8,C,6-8,220,18,4.0,2.0,11.0,3.0,8.0,2.0,3.0,2.0,11.0,5.0,28.0,14.0,32.0,15.0,6.0,1.0,1.0,0.0,15.0,4.0,3.0,0.0,6.0,3.0
345,4,Vanja Marinkovic,VAL,11.0,17.7,6.6,16.0,0.41,4.7,10.1,0.469,1.2,1.6,0.75,1.6,1.9,0.6,1.2,1.9,1.4,1.2,0.2,19.1,G,6-6,194,24,0.0,0.0,5.0,2.0,4.0,0.0,2.0,2.0,16.0,7.0,11.0,4.0,16.0,4.0,10.0,7.0,0.0,0.0,9.0,6.0,1.0,0.0,1.0,0.0
346,5,Victor Arteaga,EST,35.0,17.8,8.0,12.7,0.631,0.0,0.1,0.0,2.8,3.9,0.705,2.4,5.6,5.0,6.0,11.0,0.8,1.0,1.4,18.8,C,7-0,214,28,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,50.0,32.0,79.0,45.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
347,17,Victor Claver,FCB,13.0,14.1,2.8,7.6,0.371,1.5,4.8,0.318,1.5,1.5,1.0,2.8,3.1,2.4,6.1,8.5,1.7,0.4,0.7,8.7,SF,6-10,235,32,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
350,2,Vitor Benite,SPB,32.0,23.5,7.6,16.7,0.454,4.2,9.3,0.454,3.9,4.7,0.831,1.9,4.4,0.3,3.2,3.6,2.3,1.1,0.2,23.3,SG,6-3,194,31,2.0,1.0,5.0,4.0,15.0,6.0,28.0,11.0,52.0,21.0,32.0,14.0,48.0,22.0,53.0,27.0,10.0,7.0,18.0,9.0,9.0,5.0,4.0,1.0
351,5,Vladimir Brodziansky,JOV,34.0,19.9,6.2,11.6,0.536,2.1,4.7,0.443,5.4,6.9,0.778,2.0,3.6,1.4,4.9,6.3,1.6,0.4,1.7,19.9,PF,6-11,230,26,2.0,1.0,18.0,9.0,4.0,2.0,2.0,1.0,18.0,9.0,48.0,27.0,41.0,25.0,26.0,12.0,2.0,1.0,3.0,0.0,7.0,3.0,6.0,2.0
352,13,Volodymyr Herun,UNI,20.0,13.5,4.6,6.5,0.705,0.0,0.0,0.0,3.0,3.9,0.769,1.8,5.3,3.4,6.2,9.6,1.5,0.9,0.6,12.2,C,6-10,250,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,6,William Magarity,GBC,29.0,14.8,5.0,13.1,0.386,2.1,7.0,0.293,2.1,2.4,0.846,1.6,3.9,1.8,4.6,6.4,1.4,0.7,0.8,14.2,FC,6-11,250,27,0.0,0.0,9.0,2.0,8.0,1.0,8.0,4.0,29.0,7.0,14.0,8.0,13.0,7.0,15.0,6.0,10.0,4.0,10.0,4.0,6.0,1.0,1.0,0.0
356,13,Xabi Oroz,GBC,31.0,18.8,2.8,6.3,0.451,0.9,2.1,0.433,0.4,1.0,0.429,2.5,3.5,1.4,3.1,4.5,6.0,2.7,0.4,6.9,SG,6-3,183,25,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,9.0,3.0,34.0,16.0,24.0,11.0,6.0,3.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0
357,3,Xabier Lopez-Arostegui,JOV,24.0,25.4,6.3,12.9,0.487,2.6,6.4,0.412,6.2,6.4,0.969,2.1,3.1,1.8,6.4,8.1,1.0,1.9,0.0,21.4,GF,6-7,215,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,12,Xavi Rabaseda,SPB,29.0,19.9,3.6,8.3,0.433,1.4,4.4,0.312,2.1,2.8,0.775,1.7,3.1,1.7,5.1,6.9,1.2,2.6,0.3,10.7,GF,6-7,205,32,3.0,0.0,10.0,4.0,11.0,2.0,3.0,1.0,8.0,1.0,21.0,13.0,15.0,6.0,5.0,1.0,0.0,0.0,13.0,5.0,6.0,3.0,7.0,4.0
359,5,Yakuba Ouattara,BETIS,28.0,22.3,6.3,14.7,0.432,2.0,6.3,0.316,1.6,1.9,0.833,1.5,2.6,3.0,4.5,7.6,1.0,1.7,0.1,16.3,SG,6-4,220,29,2.0,1.0,16.0,8.0,23.0,5.0,5.0,4.0,19.0,8.0,40.0,19.0,40.0,20.0,16.0,0.0,2.0,0.0,26.0,12.0,10.0,5.0,2.0,0.0
360,2,Yankuba Sima,MAN,33.0,9.5,9.8,16.4,0.597,0.0,0.1,0.0,5.0,8.9,0.557,3.4,7.1,3.3,6.2,9.6,2.3,1.1,0.4,24.6,C,6-11,225,24,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,37.0,16.0,36.0,20.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
362,10,Yannick Nzosa,UNI,23.0,12.5,6.1,9.5,0.647,0.0,0.0,0.0,1.7,2.2,0.75,1.5,7.2,2.9,6.4,9.3,1.1,1.4,3.2,13.9,C,7-0,174,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,17.0,30.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,1,Youssoupha Fall,CAJ,27.0,12.2,7.9,12.9,0.613,0.0,0.0,0.0,4.9,7.5,0.645,4.4,5.7,4.9,8.0,12.9,1.2,0.4,2.3,20.6,C,7-3,271,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,47.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,3,Youssoupha Ndoye,BETIS,34.0,21.0,7.0,12.5,0.563,0.0,0.1,0.0,8.0,12.0,0.671,3.9,4.8,3.9,5.8,9.8,1.0,1.6,1.3,22.1,C,7-0,250,29,0.0,0.0,12.0,2.0,0.0,0.0,13.0,8.0,0.0,0.0,72.0,41.0,64.0,32.0,2.0,1.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0
366,16,Ziga Samar,MON,32.0,10.0,5.1,11.3,0.451,0.9,3.9,0.226,0.7,1.1,0.667,4.6,7.6,1.1,3.9,5.0,6.4,1.6,0.1,11.8,PG,6-6,184,20,0.0,0.0,3.0,2.0,3.0,0.0,4.0,1.0,12.0,3.0,17.0,8.0,25.0,16.0,7.0,3.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
367,2,Zoran Dragic,CAJ,31.0,18.0,6.7,13.3,0.5,1.5,4.9,0.304,4.2,6.3,0.67,2.5,3.3,1.0,2.8,3.8,1.9,1.2,0.1,19.1,SG,6-5,200,31,0.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0,23.0,9.0,46.0,31.0,54.0,35.0,21.0,5.0,3.0,1.0,5.0,2.0,3.0,0.0,2.0,1.0
