,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
112,10,Nick Spires,BETIS,21,10.1,5.1,11.9,.429,0.8,3.2,.235,1.3,1.9,.700,2.1,6.4,3.8,5.5,9.3,1.9,0.9,1.5,12.3,F,6-9,215,27
113,11,Obi Enechionyia,BETIS,15,11.4,3.7,11.0,.340,2.1,7.5,.281,2.6,3.3,.786,4.0,6.3,2.8,5.6,8.4,1.2,2.3,2.1,12.1,FC,6-10,220,25
114,12,Nicholas Kay,BETIS,34,27.2,4.7,9.8,.482,0.8,2.7,.290,1.7,2.0,.830,1.0,2.4,3.3,5.1,8.4,1.7,1.5,0.4,11.9,F,6-9,230,28
115,13,Boris Tisma,BETIS,9,8.6,4.1,13.4,.308,1.5,5.7,.273,1.5,1.5,1.000,2.1,3.6,3.1,3.1,6.2,3.1,1.5,0.0,11.3,SF,6-9,153,19
116,13,Boris Tisma,BETIS,9,8.6,4.1,13.4,.308,1.5,5.7,.273,1.5,1.5,1.000,2.1,3.6,3.1,3.1,6.2,3.1,1.5,0.0,11.3,SF,6-9,153,19
117,19,Boris Tisma,RMB,1,3.3,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,6-9,153,19
118,19,Boris Tisma,RMB,1,3.3,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,6-9,153,19
119,14,Mike Torres,BETIS,28,6.7,2.6,10.1,.255,1.1,4.5,.238,4.5,4.9,.913,4.1,6.7,0.6,3.9,4.5,3.9,1.5,0.0,10.7,PG,6-2,176,26
120,15,Ibrahim Magassa,BETIS,14,7.2,4.3,12.2,.355,1.2,5.9,.200,0.0,0.0,.000,1.6,3.9,1.2,2.4,3.6,0.4,0.4,0.4,9.9,SF,6-7,220,19
121,16,Pablo Almazan,BETIS,32,19.3,2.0,6.7,.298,1.0,3.6,.291,1.8,2.3,.800,1.7,3.9,1.7,4.1,5.8,2.3,1.6,0.1,6.8,SF,6-5,190,32
122,1,Earl Clark,GCN,4,13.2,9.8,18.1,.542,3.8,5.3,.714,1.5,3.0,.500,3.8,0.0,2.3,2.3,4.5,0.8,1.5,0.8,24.9,F,6-10,234,33
123,2,Sean Kilpatrick,GCN,16,20.5,7.7,17.3,.444,2.7,6.8,.393,5.2,6.1,.860,2.7,3.2,0.6,2.4,3.0,3.7,1.8,0.0,23.3,SG,6-4,212,31
124,3,A.J. Slaughter,GCN,22,24.3,8.2,16.9,.484,2.8,6.9,.402,3.5,4.2,.839,2.5,3.4,0.7,3.1,3.8,6.1,1.8,0.3,22.6,G,6-4,185,33
125,4,Matt Costello,GCN,27,23.4,8.3,16.7,.496,2.2,5.9,.376,2.3,3.3,.712,2.2,4.9,3.4,6.5,9.9,2.2,0.8,2.0,21.2,C,6-9,245,27
126,5,Ruben Lopez,GCN,2,3.1,6.4,6.4,1.000,0.0,0.0,.000,6.4,6.4,1.000,0.0,0.0,12.7,0.0,12.7,0.0,0.0,0.0,19.1,PF,6-7,206,18
127,6,Olek Balcerowski,GCN,28,11.6,6.9,11.9,.577,0.7,1.7,.429,3.4,5.7,.609,3.8,9.1,3.0,5.3,8.2,1.7,0.7,2.1,18.0,C,7-1,230,20
128,8,Stan Okoye,GCN,33,20.6,5.9,14.4,.410,3.2,7.6,.426,2.5,3.2,.782,1.5,4.6,1.1,4.5,5.6,2.1,1.7,0.5,17.5,GF,6-6,215,29
129,9,Oliver Stevic,GCN,23,13.5,6.4,9.0,.714,0.0,0.0,.000,4.0,5.4,.738,1.9,6.2,3.2,4.5,7.7,1.4,1.4,0.3,16.8,FC,6-10,220,37
130,9,Oliver Stevic,GCN,23,13.5,6.4,9.0,.714,0.0,0.0,.000,4.0,5.4,.738,1.9,6.2,3.2,4.5,7.7,1.4,1.4,0.3,16.8,FC,6-10,220,37
