,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
233,Scott Eatherton,MAN,35,22.9,5.7,9.5,0.599,0.6,1.3,0.435,2.3,3.0,0.755,1.4,3.2,2.2,3.7,5.9,1.5,0.6,0.3,14.3,F,2.0726402,234,29,0.0,0.0,4.0,2.0,0.0,0.0,19.0,6.0,19.0,5.0,76.0,48.0,108.0,68.0,22.0,12.0,13.0,6.0,0.0,0.0,5.0,2.0,0.0,0.0,Elite-Scorers
234,Sean Kilpatrick,GCN,16,20.5,3.9,8.9,0.444,1.4,3.5,0.393,2.7,3.1,0.86,1.4,1.6,0.3,1.2,1.6,1.9,0.9,0.0,11.9,SG,1.9507201,212,31,1.0,1.0,5.0,2.0,10.0,3.0,6.0,2.0,18.0,8.0,26.0,13.0,36.0,20.0,23.0,9.0,9.0,3.0,2.0,0.0,4.0,0.0,1.0,1.0,Role-Players
235,Sergi Garcia,AND,33,16.7,1.5,4.4,0.331,1.0,3.0,0.347,0.8,1.2,0.658,1.3,1.3,0.8,1.9,2.7,2.7,0.5,0.1,4.7,PG,1.92024,181,24,1.0,1.0,6.0,3.0,3.0,1.0,3.0,1.0,32.0,11.0,13.0,3.0,18.0,5.0,34.0,14.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,Role-Players
236,Sergi Martinez,FCB,26,15.2,1.3,3.0,0.429,0.3,1.0,0.32,0.8,1.1,0.786,0.5,1.4,0.5,2.4,3.0,0.7,0.5,0.2,3.7,F,2.04216,220,21,1.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,5.0,2.0,19.0,10.0,24.0,9.0,6.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,Role-Players
237,Sergio Llull,RMB,21,17.4,3.2,8.1,0.394,1.6,4.6,0.351,1.4,1.8,0.784,1.3,1.3,0.0,1.3,1.3,2.1,0.4,0.0,9.4,PG,1.92024,190,33,1.0,0.0,3.0,0.0,5.0,0.0,5.0,3.0,35.0,8.0,26.0,16.0,27.0,11.0,27.0,9.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,3.0,Playmakers
238,Sergio Rodriguez,CAN,32,13.7,0.9,2.3,0.405,0.7,1.6,0.451,0.5,0.6,0.85,0.4,1.2,0.4,1.6,2.0,0.6,0.5,0.0,3.1,SF,2.04216,202,27,0.0,0.0,5.0,1.0,8.0,6.0,1.0,0.0,12.0,5.0,4.0,1.0,9.0,4.0,10.0,4.0,4.0,1.0,10.0,4.0,2.0,1.0,5.0,2.0,Role-Players
239,Seth Hinrichs,MAN,35,24.8,3.3,5.6,0.582,0.3,1.2,0.293,1.0,1.5,0.63,1.5,2.4,2.0,3.3,5.3,1.7,0.8,0.1,7.8,SG,2.0726402,223,27,4.0,2.0,11.0,3.0,4.0,2.0,4.0,2.0,8.0,2.0,51.0,32.0,68.0,45.0,6.0,1.0,3.0,2.0,5.0,2.0,6.0,3.0,4.0,2.0,Big-Guys
240,Shawn Dawson,JOV,21,10.1,1.3,3.7,0.359,0.4,1.7,0.229,0.4,0.6,0.615,0.9,1.7,0.3,1.5,1.8,0.6,0.4,0.2,3.4,F,2.01168,205,27,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,7.0,0.0,13.0,8.0,22.0,8.0,13.0,4.0,0.0,0.0,2.0,0.0,5.0,1.0,4.0,2.0,Role-Players
241,Shevon Thompson,MON,11,12.8,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.4,0.733,2.0,1.7,1.5,2.9,4.5,0.2,0.7,0.8,5.0,C,2.1336,242,27,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,9.0,15.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
242,Siim-Sander Vene,MON,12,21.2,2.2,5.8,0.391,1.0,3.5,0.286,0.5,0.7,0.75,0.6,1.8,0.7,1.6,2.2,1.0,0.6,0.0,6.0,SF,2.04216,207,30,5.0,3.0,7.0,4.0,5.0,1.0,4.0,1.0,8.0,3.0,2.0,1.0,6.0,4.0,10.0,1.0,3.0,1.0,4.0,1.0,6.0,3.0,2.0,0.0,Role-Players
243,Simon Birgander,JOV,34,14.3,2.6,3.6,0.726,0.0,0.0,0.0,0.9,1.1,0.795,0.6,2.2,1.2,2.2,3.4,0.6,0.4,0.6,6.2,FC,1.862328,208,23,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,29.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Big-Guys
244,Spencer Butterfield,CAN,18,13.9,2.3,4.0,0.569,1.4,2.4,0.591,0.7,0.8,0.857,0.8,1.5,0.4,1.7,2.1,0.4,0.7,0.0,6.7,G,1.92024,205,28,1.0,0.0,7.0,2.0,3.0,2.0,4.0,2.0,9.0,5.0,4.0,2.0,9.0,7.0,9.0,4.0,2.0,1.0,5.0,4.0,5.0,2.0,5.0,5.0,Role-Players
245,Stan Okoye,GCN,33,20.6,3.0,7.4,0.41,1.7,3.9,0.426,1.3,1.7,0.782,0.8,2.4,0.6,2.3,2.9,1.1,0.9,0.3,9.0,GF,2.01168,215,29,0.0,0.0,11.0,5.0,26.0,12.0,7.0,3.0,26.0,10.0,37.0,13.0,40.0,15.0,34.0,13.0,4.0,1.0,18.0,10.0,9.0,2.0,2.0,0.0,Playmakers
246,Steven Enoch,OBR,34,15.5,3.7,6.2,0.592,0.4,1.0,0.343,1.8,2.0,0.87,1.4,1.9,1.3,2.8,4.1,0.5,0.3,0.6,9.5,PF,1.85928,260,23,0.0,0.0,6.0,3.0,0.0,0.0,11.0,7.0,14.0,5.0,47.0,26.0,51.0,28.0,14.0,5.0,10.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,Big-Guys
247,T.J. Bray,ZAR,11,24.2,2.8,6.7,0.419,1.5,4.0,0.364,0.5,0.5,0.833,1.6,2.7,0.7,2.0,2.7,2.2,1.1,0.0,7.5,G,1.9812,207,28,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,20.0,10.0,16.0,8.0,13.0,7.0,12.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Role-Players
248,T.J. Campbell,BETIS,34,23.8,2.8,6.8,0.417,1.4,4.1,0.345,1.8,2.1,0.845,2.0,2.7,0.4,1.4,1.8,3.4,1.1,0.0,8.8,G,1.79832,190,33,2.0,2.0,8.0,3.0,11.0,4.0,10.0,3.0,49.0,15.0,30.0,16.0,29.0,19.0,42.0,19.0,10.0,6.0,11.0,2.0,4.0,1.0,1.0,0.0,Playmakers
249,Tadas Sedekerskis,CAJ,33,18.0,2.0,3.3,0.591,0.3,0.8,0.357,0.9,1.1,0.811,0.5,0.6,1.2,2.9,4.1,0.9,0.7,0.3,5.2,SF,2.0726402,205,23,1.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,27.0,18.0,33.0,21.0,5.0,1.0,0.0,0.0,3.0,2.0,5.0,2.0,3.0,2.0,Role-Players
250,Thaddus McFadden,SPB,32,22.3,4.5,10.2,0.445,2.7,6.6,0.408,2.0,2.4,0.855,1.7,1.6,0.2,1.3,1.5,2.2,0.9,0.1,13.8,SG,1.88976,176,33,1.0,1.0,12.0,3.0,22.0,5.0,10.0,3.0,67.0,28.0,25.0,13.0,43.0,25.0,59.0,19.0,17.0,11.0,21.0,12.0,8.0,5.0,6.0,2.0,Playmakers
251,Thomas Heurtel,FCB,14,18.2,2.4,5.5,0.429,0.6,1.9,0.333,0.5,0.6,0.778,1.8,0.9,0.1,1.6,1.6,4.6,0.9,0.0,5.9,G,1.88976,180,31,0.0,0.0,4.0,4.0,1.0,0.0,9.0,4.0,15.0,3.0,9.0,5.0,14.0,8.0,7.0,3.0,10.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,Role-Players
252,Tim Abromaitis,UNI,34,21.3,3.0,5.9,0.508,1.1,3.0,0.382,1.4,1.7,0.807,0.9,2.0,1.1,2.6,3.7,0.8,0.8,0.2,8.4,PF,2.0726402,236,31,2.0,2.0,20.0,7.0,12.0,4.0,1.0,0.0,20.0,7.0,38.0,24.0,28.0,17.0,14.0,7.0,2.0,1.0,13.0,4.0,8.0,5.0,9.0,4.0,Big-Guys
253,Tobias Borg,BETIS,33,17.5,1.9,4.6,0.412,0.8,2.1,0.357,1.0,1.2,0.868,0.9,2.0,0.5,1.1,1.6,1.2,0.6,0.1,5.6,PG,1.8288,162,27,1.0,0.0,13.0,4.0,4.0,3.0,8.0,3.0,17.0,5.0,31.0,14.0,24.0,11.0,25.0,12.0,6.0,4.0,4.0,2.0,7.0,4.0,4.0,0.0,Role-Players
254,Tomas Bellas,MUR,27,22.2,2.4,5.4,0.438,1.0,2.7,0.384,1.6,2.0,0.811,1.2,2.6,0.4,1.3,1.7,2.9,1.1,0.0,7.4,PG,1.85928,198,33,0.0,0.0,2.0,1.0,1.0,0.0,9.0,3.0,34.0,13.0,17.0,12.0,22.0,8.0,25.0,11.0,11.0,5.0,5.0,2.0,1.0,0.0,2.0,0.0,Role-Players
256,Tomas Dimsa,GCN,30,21.3,2.5,7.2,0.347,1.2,4.0,0.298,0.8,1.0,0.8,1.4,1.9,0.5,1.1,1.5,1.2,0.4,0.1,7.0,SG,1.9812,180,27,1.0,0.0,4.0,2.0,20.0,7.0,2.0,1.0,32.0,6.0,35.0,16.0,43.0,16.0,34.0,9.0,0.0,0.0,21.0,6.0,2.0,1.0,2.0,2.0,Playmakers
257,Tomasz Gielo,AND,17,17.7,2.4,5.1,0.471,1.8,3.8,0.484,1.1,1.4,0.826,0.5,2.0,0.7,2.6,3.4,0.4,0.3,0.0,7.8,PF,2.10312,228,28,1.0,0.0,3.0,1.0,6.0,3.0,2.0,0.0,20.0,10.0,9.0,4.0,4.0,1.0,24.0,12.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,Role-Players
258,Tonye Jekiri,CAJ,29,18.3,2.5,4.6,0.537,0.0,0.0,0.0,1.4,1.8,0.755,1.5,1.8,1.0,3.4,4.4,1.3,0.9,0.4,6.3,C,2.1336,227,26,0.0,0.0,3.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,41.0,25.0,31.0,14.0,0.0,0.0,15.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,Big-Guys
259,Trey Thompkins,RMB,27,20.6,3.4,6.7,0.514,1.3,3.0,0.425,1.4,1.6,0.86,0.7,1.6,0.5,2.8,3.3,1.4,0.9,0.3,9.5,PF,1.85928,245,30,2.0,2.0,23.0,9.0,11.0,9.0,4.0,1.0,18.0,7.0,24.0,17.0,28.0,17.0,21.0,7.0,8.0,8.0,7.0,4.0,17.0,5.0,2.0,1.0,Role-Players
261,Tryggvi Hlinason,ZAR,34,17.7,3.2,4.3,0.74,0.0,0.0,0.0,1.1,1.7,0.61,1.1,2.2,1.6,3.4,5.0,0.7,0.4,1.1,7.4,C,2.16408,260,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Big-Guys
262,B. Olumuyiwa,AND,33,19.7,2.9,4.4,0.651,0.0,0.0,0.0,1.2,1.8,0.623,2.0,2.3,1.5,2.9,4.4,0.5,0.4,0.7,6.9,FC,2.0726402,220,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,20.0,59.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Big-Guys
263,Tyler Cavanaugh,CAN,34,22.3,2.9,5.3,0.552,1.0,2.1,0.465,1.1,1.3,0.844,0.8,1.8,1.1,3.3,4.4,0.9,0.5,0.1,8.0,F,2.10312,240,27,4.0,2.0,13.0,7.0,7.0,2.0,5.0,2.0,11.0,5.0,47.0,28.0,39.0,26.0,16.0,8.0,5.0,4.0,5.0,2.0,9.0,5.0,9.0,6.0,Big-Guys
264,Tyson Perez,AND,17,20.8,3.0,6.5,0.464,1.2,2.6,0.455,1.4,2.0,0.676,0.9,1.5,2.2,3.5,5.8,0.5,0.8,0.4,8.5,PF,2.0726402,214,25,0.0,0.0,6.0,3.0,6.0,6.0,1.0,0.0,15.0,6.0,16.0,8.0,19.0,9.0,7.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,Role-Players
265,Usman Garuba,RMB,34,18.8,2.1,4.7,0.459,0.6,1.9,0.318,0.6,0.9,0.656,0.9,2.0,1.6,3.6,5.3,1.1,0.8,0.4,5.5,C,2.0726402,220,18,4.0,2.0,11.0,3.0,8.0,2.0,3.0,2.0,11.0,5.0,28.0,14.0,32.0,15.0,6.0,1.0,1.0,0.0,15.0,4.0,3.0,0.0,6.0,3.0,Role-Players
266,Vanja Marinkovic,VAL,11,17.7,2.9,7.1,0.41,2.1,4.5,0.469,0.5,0.7,0.75,0.7,0.8,0.3,0.5,0.8,0.6,0.5,0.1,8.5,G,2.01168,194,24,0.0,0.0,5.0,2.0,4.0,0.0,2.0,2.0,16.0,7.0,11.0,4.0,16.0,4.0,10.0,7.0,0.0,0.0,9.0,6.0,1.0,0.0,1.0,0.0,Role-Players
267,Victor Arteaga,EST,35,17.8,3.6,5.7,0.631,0.0,0.0,0.0,1.2,1.7,0.705,1.1,2.5,2.2,2.7,4.9,0.4,0.4,0.6,8.4,C,2.1336,214,28,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,50.0,32.0,79.0,45.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Big-Guys
268,Victor Claver,FCB,13,14.1,1.0,2.7,0.371,0.5,1.7,0.318,0.5,0.5,1.0,1.0,1.1,0.8,2.2,3.0,0.6,0.2,0.2,3.1,SF,1.85928,235,32,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,Role-Players
269,Viny Okouo,GBC,34,19.3,4.0,7.9,0.507,0.0,0.1,0.0,1.7,2.8,0.6,2.1,2.5,1.8,3.7,5.5,0.3,0.6,0.3,9.7,C,2.16408,240,23,0.0,0.0,2.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,96.0,44.0,98.0,56.0,0.0,0.0,9.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,Elite-Scorers
270,Vitor Benite,SPB,32,23.5,4.4,9.8,0.454,2.5,5.4,0.454,2.3,2.8,0.831,1.1,2.6,0.2,1.9,2.1,1.3,0.6,0.1,13.7,SG,1.92024,194,31,2.0,1.0,5.0,4.0,15.0,6.0,28.0,11.0,52.0,21.0,32.0,14.0,48.0,22.0,53.0,27.0,10.0,7.0,18.0,9.0,9.0,5.0,4.0,1.0,Playmakers
271,Vladimir Brodziansky,JOV,34,19.9,3.1,5.8,0.536,1.0,2.3,0.443,2.7,3.4,0.778,1.0,1.8,0.7,2.4,3.1,0.8,0.2,0.8,9.9,PF,1.862328,230,26,2.0,1.0,18.0,9.0,4.0,2.0,2.0,1.0,18.0,9.0,48.0,27.0,41.0,25.0,26.0,12.0,2.0,1.0,3.0,0.0,7.0,3.0,6.0,2.0,Big-Guys
272,Volodymyr Herun,UNI,20,13.5,1.6,2.2,0.705,0.0,0.0,0.0,1.0,1.3,0.769,0.6,1.8,1.1,2.1,3.2,0.5,0.3,0.2,4.1,C,1.85928,250,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
273,William Magarity,GBC,29,14.8,1.9,4.8,0.386,0.8,2.6,0.293,0.8,0.9,0.846,0.6,1.4,0.7,1.7,2.3,0.5,0.3,0.3,5.2,FC,1.862328,250,27,0.0,0.0,9.0,2.0,8.0,1.0,8.0,4.0,29.0,7.0,14.0,8.0,13.0,7.0,15.0,6.0,10.0,4.0,10.0,4.0,6.0,1.0,1.0,0.0,Role-Players
274,Xabi Oroz,GBC,31,18.8,1.3,2.9,0.451,0.4,1.0,0.433,0.2,0.5,0.429,1.2,1.6,0.7,1.5,2.1,2.8,1.3,0.2,3.3,SG,1.92024,183,25,1.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,9.0,3.0,34.0,16.0,24.0,11.0,6.0,3.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,Role-Players
275,Xabier Lopez-Arostegui,JOV,24,25.4,4.0,8.2,0.487,1.7,4.0,0.412,3.9,4.0,0.969,1.3,2.0,1.1,4.0,5.2,0.6,1.2,0.0,13.6,GF,2.04216,215,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
276,Xavi Rabaseda,SPB,29,19.9,1.8,4.1,0.433,0.7,2.2,0.312,1.1,1.4,0.775,0.9,1.6,0.9,2.6,3.4,0.6,1.3,0.2,5.3,GF,2.04216,205,32,3.0,0.0,10.0,4.0,11.0,2.0,3.0,1.0,8.0,1.0,21.0,13.0,15.0,6.0,5.0,1.0,0.0,0.0,13.0,5.0,6.0,3.0,7.0,4.0,Role-Players
277,Yakuba Ouattara,BETIS,28,22.3,3.5,8.2,0.432,1.1,3.5,0.316,0.9,1.1,0.833,0.8,1.4,1.7,2.5,4.2,0.5,0.9,0.0,9.1,SG,1.9507201,220,29,2.0,1.0,16.0,8.0,23.0,5.0,5.0,4.0,19.0,8.0,40.0,19.0,40.0,20.0,16.0,0.0,2.0,0.0,26.0,12.0,10.0,5.0,2.0,0.0,Big-Guys
279,Yannick Nzosa,UNI,23,12.5,1.9,3.0,0.647,0.0,0.0,0.0,0.5,0.7,0.75,0.5,2.3,0.9,2.0,2.9,0.3,0.4,1.0,4.3,C,2.1336,174,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,17.0,30.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role-Players
280,Youssoupha Fall,CAJ,27,12.2,2.4,3.9,0.613,0.0,0.0,0.0,1.5,2.3,0.645,1.3,1.7,1.5,2.4,3.9,0.4,0.1,0.7,6.3,C,2.2250402,271,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,47.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Big-Guys
281,Youssoupha Ndoye,BETIS,34,21.0,3.7,6.5,0.563,0.0,0.1,0.0,4.2,6.3,0.671,2.0,2.5,2.1,3.1,5.1,0.5,0.8,0.7,11.6,C,2.1336,250,29,0.0,0.0,12.0,2.0,0.0,0.0,13.0,8.0,0.0,0.0,72.0,41.0,64.0,32.0,2.0,1.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,Big-Guys
283,Zoran Dragic,CAJ,31,18.0,3.0,6.0,0.5,0.7,2.2,0.304,1.9,2.8,0.67,1.1,1.5,0.5,1.3,1.7,0.8,0.5,0.0,8.6,SG,1.9812,200,31,0.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0,23.0,9.0,46.0,31.0,54.0,35.0,21.0,5.0,3.0,1.0,5.0,2.0,3.0,0.0,2.0,1.0,Big-Guys
